referentienummer,identifier
DMG-A-00001,Q14101030
DMG-A-00004,Q97976472
DMG-A-00005,Q15875351
DMG-A-00006,Q97774077
DMG-A-00007,Q623846
DMG-A-00008,Q97773849
DMG-A-00009,Q78060023
DMG-A-00010,Q16574756
DMG-A-00011,Q21282241
DMG-A-00012,Q1286244
DMG-A-00013,Q2832879
DMG-A-00014,Q22116015
DMG-A-00015,Q97818735
DMG-A-00016,Q97781911
DMG-A-00019,Q52603550
DMG-A-00020,Q97819320
DMG-A-00021,Q18398076
DMG-A-00022,Q97782617
DMG-A-00023,Q451400
DMG-A-00024,Q21637127
DMG-A-00027,Q1624295
DMG-A-00028,Q22235955
DMG-A-00029,Q2864808
DMG-A-00030,Q2343811
DMG-A-00031,Q22237198
DMG-A-00032,Q97819786
DMG-A-00033,Q2663996
DMG-A-00034,Q2524332
DMG-A-00035,Q4233718
DMG-A-00036,Q2954774
DMG-A-00037,Q19915295
DMG-A-00040,Q12055966
DMG-A-00041,Q2250620
DMG-A-00042,Q21638837
DMG-A-00052,Q22235920
DMG-A-00053,Q2164514
DMG-A-00055,Q2299826
DMG-A-00057,Q747353
DMG-A-00063,Q55235745
DMG-A-00066,Q1497235
DMG-A-00067,Q2570465
DMG-A-00076,Q98010491
DMG-A-00078,Q4023814
DMG-A-00088,Q98136897
DMG-A-00090,Q2832315
DMG-A-00091,Q737146
DMG-A-00094,Q3881993
DMG-A-00099,Q17622353
DMG-A-00103,Q161833
DMG-A-00105,Q514988
DMG-A-00116,Q2789655
DMG-A-00123,Q7176228
DMG-A-00126,Q21638003
DMG-A-00131,Q29421982
DMG-A-00133,Q730882
DMG-A-00135,Q2792172
DMG-A-00136,Q78884
DMG-A-00137,Q772733
DMG-A-00139,Q653307
DMG-A-00140,Q1054265
DMG-A-00142,Q1075644
DMG-A-00145,Q373280
DMG-A-00150,Q2924183
DMG-A-00151,Q30090091
DMG-A-00152,Q61071
DMG-A-00153,Q532300
DMG-A-00154,Q20737956
DMG-A-00157,Q1360756
DMG-A-00159,Q165397
DMG-A-00161,Q314636
DMG-A-00165,Q3515533
DMG-A-00166,Q28070802
DMG-A-00167,Q477256
DMG-A-00168,Q1419963
DMG-A-00169,Q97911408
DMG-A-00170,Q28758291
DMG-A-00173,Q63485789
DMG-A-00176,Q7194081
DMG-A-00178,Q4945924
DMG-A-00179,Q5585094
DMG-A-00180,Q5958290
DMG-A-00181,Q1525125
DMG-A-00182,Q2062015
DMG-A-00183,Q4797408
DMG-A-00185,Q97780108
DMG-A-00189,Q4015244
DMG-A-00190,Q3956011
DMG-A-00199,Q55340991
DMG-A-00200,Q1401071
DMG-A-00201,Q435509
DMG-A-00203,Q78885
DMG-A-00204,Q463458
DMG-A-00205,Q20644171
