url;referentienummer;identifier
https://nl.wikipedia.org/wiki/Pieter_De_Bruyne;DMG-A-00001;Q14101030
https://nl.wikipedia.org/wiki/Frank_Steyaert;DMG-A-00005;Q15875351
https://nl.wikipedia.org/wiki/Ria_Bosman;DMG-A-00006;Q97774077
https://nl.wikipedia.org/wiki/Arabia_(merk);DMG-A-00007;Q623846
https://nl.wikipedia.org/wiki/Yvette_Lauwaert;DMG-A-00019;Q52603550
https://nl.wikipedia.org/wiki/Ren%C3%A9_Lalique;DMG-A-00023;Q451400
https://nl.wikipedia.org/wiki/Carmen_Dionyse;DMG-A-00028;Q22235955
https://nl.wikipedia.org/wiki/Ahrend;DMG-A-00030;Q2343811
https://nl.wikipedia.org/wiki/Achiel_Pauwels;DMG-A-00031;Q22237198
https://nl.wikipedia.org/wiki/Glasfabriek_Leerdam;DMG-A-00033;Q2663996
https://nl.wikipedia.org/wiki/Joris_Minne;DMG-A-00034;Q2524332
https://nl.wikipedia.org/wiki/Piet_Stockmans;DMG-A-00036;Q2954774
https://nl.wikipedia.org/wiki/Union_Cotonni%C3%A8re;DMG-A-00037;Q19915295
https://nl.wikipedia.org/wiki/Koninklijke_Mosa;DMG-A-00041;Q2250620
https://nl.wikipedia.org/wiki/Tjok_Dessauvage;DMG-A-00052;Q22235920
https://nl.wikipedia.org/wiki/Siegfried_De_Buck;DMG-A-00053;Q2164514
https://nl.wikipedia.org/wiki/Willy_Van_Der_Meeren;DMG-A-00055;Q2299826
https://nl.wikipedia.org/wiki/Fabrique_Nationale_de_Herstal;DMG-A-00057;Q747353
https://nl.wikipedia.org/wiki/Leica;DMG-A-00103;Q161833
https://nl.wikipedia.org/wiki/Nedda_El-Asmar;DMG-A-00105;Q514988
https://nl.wikipedia.org/wiki/Dirk_Wynants;DMG-A-00116;Q2789655
https://nl.wikipedia.org/wiki/Lut_Lenoir;DMG-A-00126;Q21638003
https://nl.wikipedia.org/wiki/Gustave_Serrurier-Bovy;DMG-A-00133;Q730882
https://nl.wikipedia.org/wiki/Jules_Wabbes;DMG-A-00135;Q2792172
https://nl.wikipedia.org/wiki/Hans_Hollein;DMG-A-00136;Q78884
https://nl.wikipedia.org/wiki/Alessandro_Mendini;DMG-A-00137;Q772733
https://nl.wikipedia.org/wiki/Manufacture_nationale_de_S%C3%A8vres;DMG-A-00139;Q653307
https://nl.wikipedia.org/wiki/Huib_Hoste;DMG-A-00140;Q1054265
https://nl.wikipedia.org/wiki/Paul_Hankar;DMG-A-00142;Q1075644
https://nl.wikipedia.org/wiki/Jan_van_der_Vaart;DMG-A-00150;Q2924183
https://nl.wikipedia.org/wiki/Walter_Gropius;DMG-A-00152;Q61071
https://nl.wikipedia.org/wiki/Eduardo_Paolozzi;DMG-A-00159;Q165397
https://nl.wikipedia.org/wiki/Michael_Graves;DMG-A-00161;Q314636
https://nl.wikipedia.org/wiki/Maria_Irena_Wierusz-Kowalska;DMG-A-00165;Q3515533
https://nl.wikipedia.org/wiki/Artifort;DMG-A-00170;Q28758291
https://nl.wikipedia.org/wiki/Alfred_Ost;DMG-A-00182;Q2062015
https://nl.wikipedia.org/wiki/Raymond_Loewy;DMG-A-00201;Q435509
https://nl.wikipedia.org/wiki/Ettore_Sottsass;DMG-A-00203;Q78885
https://nl.wikipedia.org/wiki/Michele_de_Lucchi;DMG-A-00204;Q463458
https://nl.wikipedia.org/wiki/Floris_Meydam;DMG-A-00212;Q2312612
https://nl.wikipedia.org/wiki/Le_Corbusier;DMG-A-00216;Q4724
https://nl.wikipedia.org/wiki/Jan_Eisenloeffel;DMG-A-00218;Q2277432
https://nl.wikipedia.org/wiki/Carel_Begeer;DMG-A-00223;Q2791537
https://nl.wikipedia.org/wiki/Christa_Ehrlich;DMG-A-00225;Q15943236
https://nl.wikipedia.org/wiki/Kaj_Franck;DMG-A-00234;Q909809
https://nl.wikipedia.org/wiki/Ulla_Procop%C3%A9;DMG-A-00236;Q455397
https://nl.wikipedia.org/wiki/Koninklijke_Van_Kempen_%26_Begeer;DMG-A-00259;Q13745166
https://nl.wikipedia.org/wiki/Harm_Ellens;DMG-A-00264;Q2237013
https://nl.wikipedia.org/wiki/Jan_Boon_(kunstenaar_1882_-_1975);DMG-A-00284;Q1890202
https://nl.wikipedia.org/wiki/Georg_Jensen;DMG-A-00301;Q288218
https://nl.wikipedia.org/wiki/Philippe_Wolfers;DMG-A-00311;Q2057733
https://nl.wikipedia.org/wiki/Antoine_Pompe;DMG-A-00315;Q1863470
https://nl.wikipedia.org/wiki/Albert_Van_huffel;DMG-A-00320;Q2536600
https://nl.wikipedia.org/wiki/Arne_Jacobsen;DMG-A-00321;Q273572
https://nl.wikipedia.org/wiki/Victor_Servranckx;DMG-A-00324;Q3062914
https://nl.wikipedia.org/wiki/Josef_Hoffmann;DMG-A-00329;Q84250
https://nl.wikipedia.org/wiki/Villeroy_%26_Boch;DMG-A-00332;Q705042
